work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,lat,lon,company_name,geolocate
2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,55.670249,10.3333283,Denmark,"(55.670249, 10.3333283)"
2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,42.6384261,12.674297,Italy,"(42.6384261, 12.674297)"
2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,45.5643442,17.0118954,Croatia,"(45.5643442, 17.0118954)"
2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,47.59397,14.12456,Austria,"(47.59397, 14.12456)"
2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,49.8158683,6.1296751,Luxembourg,"(49.8158683, 6.1296751)"
2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,52.215933,19.134422,Poland,"(52.215933, 19.134422)"
2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,52.215933,19.134422,Poland,"(52.215933, 19.134422)"
2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,55.670249,10.3333283,Denmark,"(55.670249, 10.3333283)"
2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,1.357107,103.8194992,Singapore,"(1.357107, 103.8194992)"
2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,52.24764975,5.541246849406163,Netherlands,"(52.24764975, 5.541246849406163)"
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,9.6000359,7.9999721,Nigeria,"(9.6000359, 7.9999721)"
2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,,,,
2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,45.9852129,24.6859225,Romania,"(45.9852129, 24.6859225)"
2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,33.0955793,44.1749775,Iraq,"(33.0955793, 44.1749775)"
2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,-10.3333333,-53.2,Brazil,"(-10.3333333, -53.2)"
2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,50.6402809,4.6667145,Belgium,"(50.6402809, 4.6667145)"
2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,49.4871968,31.2718321,Ukraine,"(49.4871968, 31.2718321)"
2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,40.0796606,-89.4337288,"Illinois, United States","(40.0796606, -89.4337288)"
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L,64.6863136,97.7453061,Russia,"(64.6863136, 97.7453061)"
2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,64.6863136,97.7453061,Russia,"(64.6863136, 97.7453061)"
2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,35.8885993,14.4476911,Malta,"(35.8885993, 14.4476911)"
2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L,39.6621648,-8.1353519,Portugal,"(39.6621648, -8.1353519)"
2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,23.6585116,-102.0077097,Mexico,"(23.6585116, -102.0077097)"
2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,-31.7613365,-71.3187697,Chile,"(-31.7613365, -71.3187697)"
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,30.3308401,71.247499,Pakistan,"(30.3308401, 71.247499)"
2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,32.6475314,54.5643516,Iran,"(32.6475314, 54.5643516)"
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,4.099917,-72.9088133,Colombia,"(4.099917, -72.9088133)"
2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,39.5162401,-76.9382069,"Maryland, United States","(39.5162401, -76.9382069)"
2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S,1.4419683,38.4313975,Kenya,"(1.4419683, 38.4313975)"
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,47.59397,14.12456,Austria,"(47.59397, 14.12456)"
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
